"Internal error occurred. Please contact support.","Vidinė sistemos klaida. Kreipkitės pagalbos."
"Unexpected error occurred. Please contact support.", "Nenumatyta klaida. Kreipkitės pagalbos."
"Request failed. Please contact support.", "Mokėjimas nepavyko. Kreipkitės pagalbos."
"Payment declined: ", "Mokėjimas atmestas. Priežastis: "
"Invalid order amount. Minimum amount: 0.50!", "Per maža užsakymo suma. Minimali suma: 0.50!"
"Your order has been canceled.", "Jūsų užsakymas buvo atšauktas."
"Continue","Tęsti"
